SITE ID,I or C,Change in tip length (cm),Change in tip length/day (cm),Change in base width (cm),Change in base width/day (cm),Change in tot tip width (cm),Change in tot tip width/day (cm),Change in tip weigth (g),Change in tip weigth/day (g),Change in apical tips count,Change in bladder count
KK,Impact,2.1,0.046666667,0,,3,,1.15,0.025555556,11,0
KK,Impact,2.1,0.046666667,0,,3,,0.89,0.019777778,6,0
KK,Impact,5.2,0.115555556,0.3,,6.6,,1.83,0.040666667,17,0
KK,Impact,2.8,0.062222222,0.3,,7,,1.17,0.026,16,0
KK,Impact,3,0.066666667,0,,7.1,,1.8,0.04,17,0
KK,Impact,4.2,0.093333333,-0.1,,4.6,,0.83,0.018444444,6,0
SK,Control,2.9,0.063043478,-0.1,,3.5,,1.93,0.041956522,6,-2
SK,Control,3,0.065217391,0.1,,2.1,,3.51,0.076304348,8,0
SK,Control,3.3,0.07173913,0,,4.5,,2.77,0.060217391,6,1
SK,Control,3.5,0.076086957,0.7,,-0.9,,1.53,0.03326087,3,0
SK,Control,4,0.086956522,0,,1.5,,1.7,0.036956522,1,0
SK,Control,4.1,0.089130435,0,,2.3,,1.71,0.037173913,2,0
SK,Control,2.5,0.054347826,0,,0,,2.34,0.050869565,13,0
SK,Control,3.2,0.069565217,-0.1,,0.1,,1.84,0.04,8,0
SK,Control,2.8,0.060869565,0,,2.6,,1.41,0.030652174,3,0
SK,Control,2.7,0.058695652,0,,3.5,,1.96,0.042608696,7,0
SK,Control,1.6,0.034782609,-0.2,,7.8,,2.03,0.044130435,13,0
SK,Control,3,0.065217391,-0.2,,4.6,,1.65,0.035869565,6,0
SK,Control,3,0.065217391,-1.5,,4.5,,1.26,0.027391304,10,0
SK,Control,3.2,0.069565217,0,,4.4,,2.62,0.056956522,20,0
SK,Control,3.5,0.076086957,-0.3,,3.6,,1.98,0.043043478,15,0
SK,Control,4,0.086956522,0.1,,2.8,,2.34,0.050869565,13,0
SK,Control,3.7,0.080434783,0.1,,4.2,,1.6,0.034782609,3,0
SK,Control,3.9,0.084782609,1.1,,4.4,,2.68,0.05826087,26,3
SK,Control,3.1,0.067391304,0.1,,4.4,,1.65,0.035869565,2,0
SK,Control,2.1,0.045652174,0.1,,3,,1.37,0.029782609,4,0
SK,Control,3.6,0.07826087,0.5,,0.5,,1.53,0.03326087,1,0
SK,Control,1.8,0.039130435,-0.5,,1,,0.91,0.019782609,4,0
SK,Control,0.4,0.008695652,0.1,,7.2,,2.53,0.055,19,0
SK,Control,3.4,0.073913043,0,,-2.2,,1.79,0.038913043,4,0
SK,Control,4.4,0.095652174,0.7,,3.4,,1.16,0.025217391,4,0
SK,Control,2.8,0.060869565,0.8,,4.7,,0.81,0.017608696,10,0
SK,Control,3.3,0.07173913,0.4,,6.5,,0.95,0.020652174,7,0
SK,Control,1.3,0.02826087,0,,2.6,,1.28,0.027826087,12,0
SK,Control,3,0.065217391,0.2,,5.6,,1.23,0.02673913,10,0
SK,Control,3.3,0.07173913,-0.3,,5.1,,0.9,0.019565217,11,0
SK,Control,2.4,0.052173913,0.5,,5.4,,1,0.02173913,4,0
SK,Control,4.4,0.095652174,0.2,,6.5,,1.1,0.023913043,5,0
SK,Control,4.8,0.104347826,0.2,,1.3,,1.49,0.032391304,7,0
SK,Control,4.4,0.095652174,0,,3.8,,1.41,0.030652174,17,0
SK,Control,3.5,0.076086957,0,,1.4,,1.49,0.032391304,8,0
SK,Control,3.6,0.07826087,0.2,,2.5,,0.64,0.013913043,3,0
SK,Control,2.5,0.054347826,0,,2.5,,1,0.02173913,8,0
SK,Control,2.9,0.063043478,0,,4.4,,1.75,0.038043478,16,0
SK,Control,4.9,0.106521739,-0.4,,5,,2.34,0.050869565,17,0
SK,Control,2.1,0.045652174,0.5,,8.9,,2.57,0.055869565,21,0
SK,Control,3.3,0.07173913,-0.1,,2.4,,1.95,0.042391304,17,0
SK,Control,3.8,0.082608696,0,,1.5,,1.04,0.022608696,13,0
SK,Control,2.2,0.047826087,0.1,,1.7,,1.57,0.034130435,15,0
SK,Control,2.6,0.056521739,-0.1,,2.1,,1.26,0.027391304,15,0
AL,Control,3.5,0.076086957,0.1,,6.1,,1.87,0.040652174,8,0
AL,Control,3.4,0.073913043,0.3,,5.3,,2.11,0.045869565,5,0
AL,Control,3.9,0.084782609,-0.1,,5.1,,3.61,0.078478261,13,0
AL,Control,0.9,0.019565217,-0.2,,1.3,,-0.04,-0.000869565,0,0
AL,Control,3.4,0.073913043,0,,5,,1.72,0.037391304,6,0
AL,Control,3.3,0.07173913,0,,1.8,,0.65,0.014130435,4,0
AL,Control,3.8,0.082608696,0.1,,3.1,,1.52,0.033043478,10,0
AL,Control,2.9,0.063043478,-0.1,,1.9,,2.35,0.051086957,17,0
AL,Control,3.6,0.07826087,0.7,,4.6,,1.71,0.037173913,9,0
AL,Control,2.1,0.045652174,0.1,,7.1,,0.83,0.018043478,4,-1
AL,Control,2.9,0.063043478,-0.2,,4.2,,1.86,0.040434783,5,0
AL,Control,2.3,0.05,-0.3,,2.6,,0.85,0.018478261,7,-1
AL,Control,5.3,0.115217391,0.2,,4.5,,2.13,0.046304348,11,4
AL,Control,3.3,0.07173913,0.7,,5.4,,1.32,0.028695652,9,-6
AL,Control,4.4,0.095652174,0.6,,6,,1.84,0.04,14,-5
AL,Control,4.3,0.093478261,0,,5.8,,3.19,0.069347826,20,0
AL,Control,4.9,0.106521739,0,,5.2,,3.19,0.069347826,5,0
AL,Control,3.9,0.084782609,0,,3.5,,1.84,0.04,12,0
AL,Control,4.6,0.1,0.2,,7.3,,1.5,0.032608696,2,0
AL,Control,3.2,0.069565217,-0.3,,4.6,,2.06,0.044782609,7,0
AL,Control,3.2,0.069565217,-0.1,,3.4,,1.25,0.027173913,6,0
AL,Control,4.8,0.104347826,0.1,,5.2,,3.71,0.080652174,20,0
AL,Control,2.3,0.05,0.2,,3.8,,2.32,0.050434783,22,0
AL,Control,3.1,0.067391304,0.5,,5.6,,2.1,0.045652174,16,0
AL,Control,4,0.086956522,0,,2.1,,0.62,0.013478261,3,0
AL,Control,5,0.108695652,0,,4.4,,1.65,0.035869565,9,0
AL,Control,3.6,0.07826087,0.5,,5.7,,1.65,0.035869565,11,0
AL,Control,4.6,0.1,0.4,,4.1,,1.91,0.041521739,11,0
AL,Control,3.6,0.07826087,0,,4.6,,1.31,0.028478261,17,0
AL,Control,3.8,0.082608696,0.3,,5.9,,1.41,0.030652174,7,0
AL,Control,3.2,0.069565217,0.1,,3.1,,1.23,0.02673913,9,0
AL,Control,5.5,0.119565217,0.5,,4.7,,1.23,0.02673913,2,0
AL,Control,4.2,0.091304348,0.6,,5.1,,1.01,0.021956522,6,0
AL,Control,4.2,0.091304348,0,,4.7,,1.25,0.027173913,18,0
AL,Control,4.2,0.091304348,0.3,,4.4,,0.84,0.01826087,3,0
AL,Control,2.2,0.047826087,-0.3,,7.2,,1.7,0.036956522,14,0
AL,Control,4.3,0.093478261,0.1,,5,,0.97,0.021086957,3,0
AL,Control,4.4,0.095652174,0.2,,2.7,,1.22,0.026521739,6,0
AL,Control,2.7,0.058695652,0.1,,5.4,,1.13,0.024565217,16,0
AL,Control,2.4,0.052173913,0.1,,4.9,,1.52,0.033043478,18,0
AL,Control,1.7,0.036956522,-0.4,,2.9,,1.03,0.022391304,10,0
AL,Control,3.6,0.07826087,0,,6.1,,1.06,0.023043478,10,-1
AL,Control,4.3,0.093478261,0,,5.8,,1.31,0.028478261,9,0
AL,Control,3.9,0.084782609,0.5,,6.2,,1.54,0.033478261,15,-3
AL,Control,3.3,0.07173913,0,,6.8,,1.53,0.03326087,21,0
AL,Control,3.9,0.084782609,0.1,,4.8,,1.21,0.026304348,9,0
AL,Control,3.7,0.080434783,0.5,,4.5,,1.15,0.025,8,0
VL,Control,2.4,0.052173913,0.1,,5.6,,3.36,0.073043478,7,0
VL,Control,2.5,0.054347826,0.1,,4.2,,2.83,0.061521739,8,0
